question,answer,steps,link_namu,link_n2,keywords
임시 ID 고객인데 ID 등록 어떻게 하나요?,비대면 계좌개설 시 임시 ID가 생성되며 실제 ID 등록이 필요합니다.,준비: 이름/계좌번호/계좌비밀번호 | 경로: 전체메뉴>인증·보안>아이디·비밀번호 관리>아이디 등록 | 유의: 아이디 조회/해지도 가능,https://link.mynamuh.com/9cezl7,https://link.nhsec.com/4spx4c,"임시ID,ID등록,실ID전환"
ID 비밀번호 5회 오류인데 어떻게 하나요?,ID/비밀번호 찾기는 불가하며 재설정이 필요합니다.,로그인 가능: 재설정 메뉴 이용 | 로그인 불가: 인증서 선택→아이디 해지→재등록 | 유의: 15일 내 재등록 필요,https://link.mynamuh.com/9cezl7,https://link.nhsec.com/4spx4c,"비밀번호오류,5회오류,ID재설정"
계좌비밀번호와 거래비밀번호는 다른가요?,"계좌비밀번호는 본인확인용, 거래비밀번호는 온라인 거래용입니다.",준비: 휴대폰/인증수단/계좌 | 경로: 전체메뉴>인증·보안>비밀번호 관리>계좌비밀번호 재설정,https://link.mynamuh.com/9cezl7,https://link.nhsec.com/4spx4c,"계좌비밀번호,거래비밀번호,차이"
거래비밀번호 오류인데 어떻게 하나요?,거래비밀번호 재설정이 필요합니다.,준비: SMS 인증 또는 연락처 | 경로: 전체메뉴>인증·보안>비밀번호 관리>거래비밀번호 재설정,https://link.mynamuh.com/9cezl7,https://link.nhsec.com/4spx4c,"거래비밀번호,주문오류,재설정"
공동인증서 무료 발급 가능한가요?,증권 전용 인증서는 무료이며 범용 인증서는 유료입니다.,유의: 은행용 인증서는 사용 불가 | 경로: 전체메뉴>인증·보안>공동인증서 발급,https://link.mynamuh.com/tzp86w,https://link.nhsec.com/t9s41j,"공동인증서,무료,발급"
타기관 인증서 등록 어떻게 하나요,타사 인증서는 등록 후 사용 가능합니다.,모바일: 내보내기/가져오기 | 클라우드: 등록 후 사용 | 경로: 공동인증서>타기관 등록,https://link.mynamuh.com/tzp86w,https://link.nhsec.com/t9s41j,"타기관인증서,등록"
공동인증서 갱신이 안돼요,갱신기간이 아니거나 유효하지 않을 수 있습니다.,유효기간 12개월 | 60일 전부터 갱신 가능 | 경로: 인증서 관리>갱신,https://link.mynamuh.com/tzp86w,https://link.nhsec.com/t9s41j,"인증서갱신,유효기간"
공동인증서 다른 기기로 이동 가능한가요?,가능하며 내보내기/가져오기 절차가 필요합니다.,내보내기: 인증서 있는 기기 | 가져오기: 사용할 기기 | 승인번호 입력,https://link.mynamuh.com/tzp86w,https://link.nhsec.com/t9s41j,"인증서이동,복사"
공동인증서 비밀번호 오류 시 어떻게 되나요?,5회 오류 시 재발급 필요합니다.,유의: 타기관 인증서도 사용 불가 | 재등록 필요,https://link.mynamuh.com/tzp86w,https://link.nhsec.com/t9s41j,"인증서오류,비밀번호오류"
NH투자인증서란 무엇인가요?,NH투자증권 전용 인증서로 간편비밀번호 6자리 사용합니다.,유효기간 3년 | 준비: 신분증/계좌 | 경로: 인증서>NH투자인증서,https://link.mynamuh.com/xz20db,https://link.nhsec.com/g1e3z0,"NH인증서,간편인증"
신분증 촬영 실패했어요,촬영 방법을 개선해야 합니다.,어두운 배경 | 빛 반사 방지 | 평행 촬영,https://link.mynamuh.com/tzp86w,https://link.nhsec.com/t9s41j,"간편인증번호,거래비밀번호"
간편인증번호와 거래비밀번호는 다른가요?,"간편인증번호는 로그인용, 거래비밀번호는 거래용입니다.",준비: SMS/계좌/보안매체 | 경로: 인증서>간편인증번호,https://link.mynamuh.com/tzp86w,https://link.nhsec.com/t9s41j,"간편인증번호,해지"
간편인증번호 해지 어떻게 하나요?,보안을 위해 해지가 필요할 수 있습니다.,준비: 인증수단 | 경로: 인증서>간편인증번호,https://link.mynamuh.com/8v1ffz,https://link.nhsec.com/rhn8vo,"간편인증오류,등록실패"
간편인증번호 등록 실패 이유는?,"인증 실패, 계좌 미보유, 저장공간 부족 등이 원인입니다.",통신사 정보 확인 | 계좌 상태 확인 | 저장공간 확보,https://link.mynamuh.com/tzp86w,https://link.nhsec.com/t9s41j,"금융인증서,무료"
금융인증서란 무엇인가요?,은행/증권 공통 사용 가능한 무료 인증서입니다.,특징: 6자리 비밀번호 | 유효기간 3년 | 경로: 금융인증서 발급,https://link.mynamuh.com/8v1ffz,https://link.nhsec.com/rhn8vo,"금융인증서,타기관등록"
금융인증서 타기관 등록 가능한가요?,타사 인증서 등록 후 사용 가능합니다.,준비: 인증/계좌 | 경로: 금융인증서>타기관 등록,,,
